en,zh
key information from specific apps,（直接显示）具体某些 app 提供的关键信息
kick off,上手/开始使用
kicked around like a football in a scrum,象皮球一样被踢来踢去
kicking the tires on,尝试
kill-and-kick it entertainment,打打杀杀的娱乐
Kista,西斯塔
knew everything there was to know about things,对所有物联网设备的信息了如指掌
Knowledge Base,知识库
Kobielus,科比卢斯
Labeling,贴标签/标记
labor rates,从业人员工资水平
laid low,lie low 不出头、不抛头露面、保持低调
Line of Business Application,业务部门应用程序
lined up a 30-day demo,排队获得了试用30天的演示产品
Linett has allies at the vendor,里内特在这个供货商那里也不乏盟友。
Link Fragmentation and Interleave,链路分段和交叉
list-keeping,列表维护
listing,在...上市交易
Live Content boxes,动态/即时内容对话框
live with,自身具有
load,查阅
load up,加载/装载
loan unit,外借设备
local reference,当地代理商
LAN closet,放置局域网设备的机柜
landscape,行业/领域
Lapsed Maintenance,维修服务已过期
large boxes/thin slices,三大方面/两层关系
large drop,举足轻重，占有相当大的份量
Layer 7 Quality of Service,第7层服务质量
lazy,延迟
lead,领导
Lead,领先于垂直市场中的其它公司
leading edge,尖端技术
leapfrog,超越；跨越；越过
leapfrog effect,蛙跳效应
Lease rollovers,租賃輪換
least expected,最不能指望的
leave employees to their own devices,让雇员们自行其事
Leave Windows Explorer open to the C:\\Backup folder,用资源管理器打开C:\\Backup文件夹并且不要关闭该窗口
leaves you in much the same position on Windows as well,Windows操作系统的安装也基本上是在相同的前提下完成的。
leechers,伙伴
left outside somebody\'s household address,有人把手机落在家外头
logging,记录
logic,逻辑（运算）
logical extremes of a network,网络的逻辑末端
London's Metropolitan Police,伦敦警察局
look at the image to the left,请看左图(请看左边的示意图)
looked like they were drawn with a crayon,看起来就象用蜡笔画的似的
looks like that may be on target,看来是一个准确的预计
looks like this person,那位（选手）的风格类似这位（选手）
loop through them,循环遍历
lovely spread of colors,展现了各种鲜明的颜色
low end,较差的
low-end cost of entry,很低的启动成本
lowcosters and lowlenders,低端（品牌/产品）
Lowe's,劳氏
lower left corner of the market,小规模的市场领域
loyalty,客户优惠
Lt.,警尉
luc-warm,反映平平
legal back and forth,法律交涉
legends are made of,缔造传奇的
legitimate theater offerings,正统剧
letterboxes,黑色边框
level the playing field,提供一个公平竞争的平/舞台
levels off nicely,（手机电量）保持满格
leveraged,综合利用
levering,发扬光大
library,库
license,专利
licenses,许可他人使用
licensing constructs,许可结构
Life-streaming,在线生活记录
lift,提升率
lift them slightly above the surface,稍稍垫起，高于桌面
light,ǳ
Light-Weight Profiling,轻量级性能分析
"Lightweight, rugged, and battery operated",重量轻而坚固耐用，采用电池供电
Limgurgana,里姆哥根语
LUN carving,LUN分割
M/S,market share，市场份额
macro,宏
made it easy or seamless to create,做到让人轻易或毫无缺漏地达到
made the factories extensions of the U.S. plants,Made the bought factories as branches of the u.s. plants
meh,普普通通的
Menu Presentations,菜单演示
mess with the fundamental serenity of its device,破坏其设备给人的那种平静的基本感觉
message bundle,消息包
limited enquiry access code,有限查询访问码
Lincoln Financial Distributors Inc.,林肯金融销售公司
magnetically coupled resonators,磁耦合谐振器
mail store,存储（的）邮件
Main Navigation Tab,主导航（浏览/导览）选项卡
main office,总（交换）局
maintain a solvent business,维持一个有偿还债务能力的业务/行当
message header,邮件标头
messaging logistics service provider,安全通信服务提供商
messenger bag,挎包
metal power channels,金属导电通道（取决于上下文）
metal-one pitches,第一层金属线之间的间距
meters the servers,计量服务器使用量
metrics package,度量包
microelectronic arms,微电子臂
middleware distribution,中间件分发
migrate the tools together,把（软件）工具迁移到一起（一台机器上）
Military Leave,兵役假
mind mapping,思维导图
mind-reader,预测部件
Minimum DAT,最小 DAT
minus,减去
MIP,每秒钟一百万个指令
misses the point,不是重点
misses the point,没有抓住要领
misuse cases,滥用案例/情况
maintained,保管
maintenance revenue,(软件)维护收入
make & make install,编译与安装
make connections between,链接
make sth into sth,转化为
make them curl their toes in reaction,感到担忧/不寒而栗
"make your finger travel more, not less",增加你手指的移动距离（而非缩短）
makes about your age,作出的....（关于您的年龄）
makes up for,弥补
makes up your existence,证明你的存在
mix-and-match,混合搭配
Mixed Messages,不一致的信息
mixed workload production environment,混合工作负荷生产环境
MO,行为模式
MobileDescending (APP Value),移動數據降序排序
mobilized your data,在移动设备上查看访问统计数据
modal,要求用户立即采取操作
model build dataset,模型构造/构建数据集
making calls out to a database,调用数据库，
making down-the-line changes,之后的更改
making nods towards,点头认同/向...看齐
making the cost choice one of IP switches,让iSCSI流量通过production network会产生选择IP网关的额外开销
making true apples-to-apples comparisons,作严格的 同类物品(or 人物)间的比较
manage and verify by intent,按照意图进行管理和核实
Managed events,安排的活動
managing consultant,主管顾问
manned guarding,警卫把守
map,映射
map it to appropriate users,匹配给合适的用户
map to,映射到
map......to,A映射到B
mapped to articles,补丁与红帽知识库中的文章是相对应的
mapping,映射
Marist College,马里斯特学院
market home,市场，相当于market
market presence,市场地位/市场份额
model railway software of all things,（该案例涉及的是）模型铁路软件
Modeling changes,模型修改
modular assembly,模块化装配方法
molarity,should be 'modularity' - 模块化
molding,构建
monetization,货币化
monolithic beast,艰深的大部头
monotone warning,单音警告
mop-topped,头发蓬乱的
market volume,市场容量
marketing holding companies,营销控股公司
married,融合
mashing,混合(用各类应用程式介面创造的线上服务)
master data hub,主数据中心
Max Can Stack,最大容器堆栈
maxing out,最大限度地使用
meaninglessness,一文不值
media player,媒体播放机
media transcoding,媒体代码转换
Meet Memorably,相识再难忘
mega-dense tape cartridges,超大密度磁带盒
more up-to-date information,更多最新信息
"Mostly, that's by design",计薄猵琌硄筁﹚ō砞璸
motion,运动
mould to their business,塑造。
move the needle toward,偏向
move them forward,将其位置提前
Moving further up the spectrum map,更高一些的频段
moving in a large bitmap,移入大位图
moving through,切换浏览
moving to the raw number,探讨未经处理的数据
moving up the stack,向上一级移动
multi-purpose browser add-in,多用途瀏覽器外掛/插件
multiple simultaneous rings,多路电话同时振铃
multiples,市盈率
multitasking shelf,多任务处理栏
Must See,不容错过
mustering up a following,越来越受到推崇（追捧，认可），聚敛人气
My honeytokens should be so lucky!,我的蜜标们要是这么好运就太好了！
my Pictures library,我的‘图片库‘、我的Pictures库
"N,N,N'-trimethyl-N'- hydroxyethyl-bis(aminoethyl)ether","N,N,N'-三甲基-N'-羟乙基-双(氨乙基)醚"
naked or covered,有无应对或保护措施
narrow Microsoft's lead,缩小与微软的差距
nasty-minded,满脑子鬼点子的
nastyware,肮脏软件（流氓软件的一种）
national headend,全国头端
native wavelengths,本地波长
natively,or “直接”
network-borne applications,基于网络的应用程序
navigate,转移/归咎于
navigating the supply chain,摸清供应链的脉络
Navigator,导航器
nearly level playing field,近乎平等的竞争环境
negatised,呈现负片效果
Neighborhood Grill & Bar,家常烧烤餐吧
neutral background,中性背景
new breech,new breach?
New releases,新片
News Facts,新闻提要 / 消息提要
news packages,新闻包
newsletters,新闻简报
nicely focused,一目了然的
niche businesses,针对某种特定市场商机的企业
No finger-drumming here.,不用等
No matter why you do it,无论你因何种原因而进行网络隔离
no regret,这些都是 “不会让你后悔的”措施
NODAMBIZIA,"杜撰的国名, 诺达姆比西亚"
nomadic users,流动用户
non-full bisection bandwidth,非全等分带宽
"non-hierarchical, berry picking style",非等级，采浆果模式
non-repudiation,反拒认
Net dollar expansion,（以美元计的）来自已有客户净营收增长
"netlist, port",网表，移植
network bleed-over,网络泄密
network conductions,网络连接
network refresh,网络升级/更新
network shares,网络共享区
network stations,网络工作站
on,在......上
on a Higher Plane,高水准/层次的
on an exception basis,按照/根据特例
on boarding,投入使用
on both sides of the equation,供需双方
on either side of a bridge,任何一端
on Google’s dime,由Google付账
non-value-added overhead,没有任何附加值的开销
on ice,成功或实现的机会很大/在狱中/储备/搁置/暂缓
On its own,本身
on the basis,在...的情况下
on the floor,在办公室
on the losing end of a no-win proposition,必输无疑
on the Microsoft side on the Linux side,通常...是Microsoft 方面的，但是...开始...在Linux上
On the public Internet,谈及公共互联网
on the security side,通过安全手段
on-access scan,实时后台扫描
on-board,机载
On-board flight computer of  the first Space Shuttle (ca. 1980) ... 4K words.,第一艘太空梭的机舱电脑（约造于 1980 年）只用了 4 千字代码。
on-demand  software,即点即用软件
on-net PSTN,透過網路接取 PSTN
on-site routing,现场的路由选择
onboard hard disk,机载硬盘
nonexempt workers,非豁免员工
nonvendor,非卖方
not for the faint of heart,不适合胆小者、非勇敢者不行
Not to extend much the discussion,长话短说
not upset that it wasn’t more obvious,而不会因为开发者没有把这一功能做得更明显些而不高兴
not...but...,不是...而是
note taking,笔记记录
notes,标注
nterface,界面，或者交“结”，或者“集”
nuclear lawsuit,连锁式官司
nudge,微调，调整
numbers crept in,数据开始在人们的决策中发挥作用
object identity and object equality,对象同一性和对象相等性
obliterated,彻底消除
Oblivious DNS,隱蔽式DNS
Once you have the grand design down,一旦总体设计已定
once-click call setup,点击一下即可建立呼叫
one,首先
one chunk further down,每个数据块都这样后移
one less place,少了一个/少了一处
One of the memes pumping through the Internet commentary,网上盛传的评论之一
one product family at a time,按产品系列分批
one throat to choke,一个责怪的对象
one-click access,单击访问
one-liner,单行表达式
ongoing subscription,持续订购
Oblivious Gadget Usage,使用（设备等）时不注意周围环境
odd,偶尔的
Ofcom has a consultation on UWB open till the 24 March,"英国电信管理局(Ofcom) 发布了一个有关超宽频(UWB)技术的咨询文件, 意见征询截止日期为3月24日。"
OFF,打折
Off-axis viewing angles,离轴视角
offers,赠品
Office of Communications,通信管理局
online re-indexing,在线重建索引
only,只是、还
open shifts,空缺班次/轮班
Open source is partnership with rules.,开放源代码是按规则合作(的产物)
Open Trust,开放式信任
open wheel racecars,开轮式赛车
open-in-context,隨境啟用
opening up,采用开放平台/走开放道路
operational ease of management,管理的操作简易性
operational equipment,运行设备
operations bridge,监控室
Operations Center Central,中央运营中心
opportunistic key-caching,机会性密钥缓存
opportunistic workloads,机会性工作负荷
or by way of secure shell,或通过安全外壳协议
or getting caught short,不足/不够
or if,或者是否
or someone has seen before you,或者在这之前已经被人发觉
or spread them around with copies of each chunk,又或是把每一数据块的冗余副本分散到多个硬盘
or that he was setting them up to,"或者他是在（自己都不懂的情况下）给他们“设下了陷阱"""
oracles,可信的数据来源实体
organic evolution,有机发展/逐渐增多
organizes applications into pieces,把应用程序分解成各个部分/组件
originating,发出通知的
orthogonal,正交的
OS stacking,操作系统堆叠
ostensibly,公开地/毫不遮掩地/大张旗鼓地
Other implementations can be more streamlined,有些系统实施起来可能比较简单/不那么复杂
Ouchita Parish,沃希托堂区
our operations,我們悉尼的運作部門 (unicode utf-8)
out-of-band,带外
Outbound prospecting,推式营销
outer display,外屏
outlets,新闻出口/媒体
outliers,异常值
outlook,展望
output total,输出总数
outside casing,外壳
over,副词，表空间距离
Over Easy,轻松应对
over reads and writes,在读写方面
over twice the test time,超出测试时间的两倍
over-spec-ing,规格定得过高
overengineer,超前设计/超规模设计
overhead functions,附加功能
overkill,过多的功能/特性
overlay,社交媒体聚合软件
persistence,持久性/持续性
persona,角色模型
personality clashes,个性冲突
Personally Identifiable Information,個人識別資訊
persuasive authentication,可靠的验证保护
philosophical,恪守只交付非专有软件的原则
philosophical quandary,思想斗争
phone handsets,电话（机）
photo-real replicas,依据照片生成实物模型
physical investigation,实物调查
physical Snowball drives,实体Snowball硬盘
physically and electrically,结构上和电气参数上
pick lists,领料/发货单
pick up a hovering palm,感应悬垂的手掌
pick up its ball and go home,可随时鸣金收兵/一撤了之
pie will be sliced up in very different proportions,市场份额大小大不一样/市场格局将迥然不同
Pimp,利用 / 用好
Pin,锁定
Pinning a site to the task bar,将网站固定到任务栏
pioneering the confluence of,大力倡导...融合/整合
pipeline line,流水线产品/采用流水线技术的产品
pissed off to the point of spitting,氣到破口大罵
Place the PXI module edges into the module guides,将PXI模块上下两边插入/滑入底座上的上下导轨/滑轨/滑槽
place-shifted television,移动电视
plausible security,合理的安全性
play into,便于
play to the law\'s advantage,（有时）对执法者有利
playbook,战术图，秘籍
plays phone tag,玩电话捉迷藏游戏
plenary address,大会发言
plug away with what she has,继续使用现有系统
plug into,接入/租用
plug-and-play,即插即用或一步到位
plug-in stations,充电站
plumbing,基础连接工作
plumbing history,分析/探究历史数据
pocket protectors,口袋护套
pockets of power,特权阶层；特权群体；特权集团
POJO forms,POJO表单
poking holes in your firewalls,降低防火墙的安全性
overlays a draggable onscreen bracket,调节界面浮现后，可拖动屏幕上的方括号（实现调节）
political point scoring,挣一点政治分
politics,利害关系
poll rate,轮询率
polling,轮询
polylogarithmic time,幂对数时间
override password,清除密码
overview diagram,全局图/总体图
ownership roles,所有权/者角色
Oxford Thesaurus,《牛津同义词词典》
P.E.,专业工程师
package chaining,軟件包鏈接
Padding Oracle attack,填充oracle攻击
page-scoped variables,页面范围变量
paginated list,分页列表
Paging Address Extensions,分页地址扩展
paired down to its bare essentials,被简化到最基本的程度
Panels,板块
Paradigm shifts were easier before the bubble burst.,范式转移要是在泡沫破裂前进行比较容易
polymorphic interface,多态接口
pop-out feet,可收放的撑脚
"pop-up,pop-under,pop-over advertising",弹出窗口广告
port,移植
Portal software,"门户软件(CMS), 属于Portal（企业入口网站）"
portfolio,业绩档案
portfolio pricing,产品组合定价
parallel contrast,并行对比
parasitics,寄生效应、寄生参数
particular days or time slots,特定日期或时间段
partner,伙伴
pass the original image through a neural network,将原始图像过一遍神经网络（加以处理）
password entry,密码项
password-snarfing,口令篡改
patent retaliation clauses,专利报复条款
pattern,刻印
pay for themselves many times over,物超所值
pay letters,工资信
PCI compliance module,符合PCI标准的模块
PCIe expander boxes,PCIe 扩展箱
pecking them to death,（慢得）要命
porting applications to this model,把应用程序移植到这种模式
ports adage,sports adage
positioning it within the business,确定其在该业务内的定位
positive identification,身份肯定识别
post-acute,急性后期
post-OS-setup installer,在操作系统安装完毕后使用的安装程序
poster,海报
potholes,障碍
Power Cycle System On,电源循环系统通电
power down,降低功率
power state,电源状态
Power Unit  in Chinese,各种车辆/各类车辆
"powered up, easily visible, and securely stationed",保持电力充足、触目可及、牢固安置
powerful,闪光灯强度恰到好处
practice,部門
pre-final,候选发行版
peel back the layers,逐层分析
peel-and-stick,即撕即貼
peer IT groups,同等的IT团队
Peer recovery,同名恢复？
Pen Tip travel,笔尖行程
people are complacent,人们安于现状或放松警惕
per interface,每个网络接口（Linux 中的 network interface）
perceived problems,感觉存在的问题
performance against risk frameworks,针对风险框架的表现/风险框架相关的表现
performance policy,运营策略
Performance takes many guises,性能体现在多个方面
peripheral,外围的
pre-merger,合并前
predicates,断言
prediction markets,预测市场工具
predictor,预测变量
preempted by,（应该按中文习惯变被动态为主动态）（联邦版权法）优先于
Premier Edition,豪华版
premier vendors,首要/主要/卓越供应商
prepopulation,预填内容
prescription pads,处方簿
presence server,在线状态服务器
present the results in a structured one-day workshop,在组织的为期一天的讨论会上介绍其成果
present to,提供给
presentation subsystem,显示子系统
presenter,讲解人
pretty laid-back organizations,要求相当松的组织
premium,頂級
premium content,高价值内容/优质的: 经过评估、选择的内容/有深度的内容
premium fee,额外费用
Prentice Hall Professional,Prentice Hall Professional出版社
prepared statement caching,预处理语句缓存（功能）
prevailing wind,主导风向
primary health information,基本保健信息
prime,主承包商
primordial soup,创业源泉/创业沃土
principal,本金
principal consultant,主管顧問
principal member of the technical staff,技术骨干
principal research lead,首席调查员/研究员
print tray,（打印进/出）纸盘
printer,印刷厂/印刷公司
printer cues,打印机测色仪/色度计
prints,显示
Prioritizing Applications,区分优先次序的应用程序（另译：区分应用程序的优先次序）
privacy seal,隐私权标章
proactively failing a disk drive,过早报废磁盘驱动器
probe in the target access time,在目标存取时间内准确读取……
probes,调查
processes,操作方式
procrastinate,可以更有效率地消磨时间了
procure evaluation units,购买评估装置
produces meaningful artistic expression,制作出/拍摄出意味深长、具有艺术表现力（的作品）
production database clones,生产数据库克隆
productivity tool,工具软件
productivity tools,生产力工具
professional networking,建立职场关系网
profile,分析......概况/概要
profile,数据剖析文件
profile,（用户）配置文件
profile,典型角色/典型人物
profile,外形
profile folder,配置文件夹
profiles,分析与纪录
profiling,分析功能
Program Executive Office for IT,IT计划执行办公室
progressive  jpeg work,渐进式JPEG
project,突出
project outline,项目大纲
project program manager,项目经理
project usable keyboards on desks,把可用键盘投射到桌面上
projecting a lithographic design onto wafers,把光刻图案投射到圆片上
prolong that process,（IE 之外的浏览器，安装扩展功能）的过程会被延长
prompts and outputs,你可以事先设置Expect将要处理的提示符和输入以及它应作出的反馈
proof drilling,试探性钻探
proof-of-concept,概念性的
propeller heads,计算机技术迷
proposed assignment,建议的（资源）分配
proposing to start within the confines of the business,根据企业现有条件提出方案
Proprietary components are where the market competition is.,市场角逐的焦点
prosthetic memory,人工记忆
prosumerization,消费专业化
protocols,条文/方法
prototyping and production,原型设计和实际开发
provably secure,可证安全（性）
provide  more than enough accuracy,精确有余的
provide a double dose of insecurity,具有双重的不安全性
provide alternating rows of warm and cool air,冷热空气相间排列
provide for,用于
provide reference data to,提供参考数据给
provision,"Here, 没法  or 无从 would be clear and good enough."
proximity badge,感应卡
proxy generation tool,代 理 生 成 工 具
Proxy to upstream servers via SSL,通过代理采用 SSL 安全连接方式登录上游服务器
public final int field,public final int字段
public review,公众（大众，公开）评测（评估）（版）
pull data,读取/提取数据
pull down salt-bootstrap,获取 salt-bootstrap 快速安装文件
pull the rip cord,采取安全的策略/采取安全的做法
pullback,回落
pulled,removed; 取消了...的展出
pulls productivity out of thin air,可令(你)得到無中生有的生產力
PulseAudio configured for per-user sessions ...,已经为每个用户的会话都配置了 PulseAudio ……
pump-and-dump,哄抬股价
redistribute,重新分配
redraw,刷新
reduced,减少
Redwood Shores,雷德伍德海岸
referee,仲裁者
Referred device,提到/涉及/牽涉/參考的設備正忙
refill tank,燃料贮存罐/盒
push computer use into a data cloud,把计算机的应用范围扩大到数据云/使用计算机来处理数据云
push such specific agendas,推动这类过于特定的议程
push-button battery gauge,按键式电池量表
pushes out those changes,实施／执行那些改变
pushes the envelope in its usage,在其应用上进行突破、创新
reframe,改变思路
reframing,重新调整/改变
registry,注册表/登记薄
reimaging,恢复映像 or 重新安装映像
release time,(项目/软件)发布期/公布期/面世期
religion,重视
rely on my connection to that service,依赖与Evernote服务之间的连接
remarketing sales,再推广销售
remit,目标/任务/课题/考虑的事项
remote presentation,远程呈现
remote-kill,远程删除/销毁
Rendering,（图像）转换
renders above the fold content,显示主要内容（传统上指报纸横折线以上的部分）
pushes up against,差量（差量线）上下极限上的（数据）点
Put the small above the Edit-window to ease access,把小窗口放在编辑窗口上方，以便访问或使用
puts the whole iPhone sales number thing in perspective,相当于iPhone的总销售额
putting bits on the wire at a certain speed,为一定速率的线路添加比特/提高速率
putting blinders on to,对.....视而不见/拒绝接受
quality-assurance facilitation,质量保证简易化
quick-and-dirty,快捷而粗劣的
Quickly Back Up All of Your Documents Offline,将你的所有文档快速备份至离线环境
quote to cash,从报价到收银
RACI,职责询知
rack shelf units,机架单元
rent-to-own retail stores,先租后买零售店
replenishment managers,补给经理/补货经理
report chaining,报表链接
Report Rate,读取速度
reports user,报告用户
reposition spare disks back to being a spare disk,将占用的备用盘重新恢复为备用盘；恢复备用盘的备用状态
representations and warranties,陈述和保证
requester,发包方
Research One,一类研究型
Reseat the failed drive,"将有问题的硬盘抽出来,在原处重新安装"
reservation and loyalty systems,预定和会员积分系统
reserve them during prime charging times,充电高峰期预定
rack up,架在一起
Racker,Rackspace员工
raise your mileage,提高工作效率
"raises the cost of operations for training, tools and tool maintenance",矗蔼毙▅癡絤ㄣ㎝ㄣ蝴臔or蝴巨Θセ
ramblings,琐碎杂文
ramp,捷径
ramp-ups,起步期
resolve to,解析到/地址转换到
Resource Schedule,资源调度
respond well to seeing themselves reflected,看到（资深团队成员中)有与自己背景相似的人，因而反应良好/有归属感
responsible blogging,负责的博客行为
REST-ful,充分利用REST的
retired,退居二线
return salvo,反击
returning files,回傳檔案
rather than simply being overhead,而不只是一笔开支/管理费用
raw socket protocol,原始套接字协议
re-spin,衍生版本
re-upping,重新
read-calculate-write,读出、计算再写入
read-heavy database,读取操作频繁的数据库
ready-to-use images,现成图象
real-scale,实用性的
real-time streaming quotes,实时自动更新报
reasonably calculated,合理的預測; 估計; 推測; 計算
recalculate risk  measures,重新估算风险度量
recertify,重新验证
recessed elevation,高度比周围凹入
recirculation balloting,再一轮投票
recognize voice traffic as distinct,区分语音流量
recover data on some products,恢复一些产品上的数据
redesign or re-architect the tech,在设计或架构方面推倒重来
returns each user's current display,显示出每个用户的当前界面
revolutionary patent-pending multi-hop routing algorithm,革命性的未决专利多中继段路由选择算法
Rheinberg/Rhineburg,莱茵贝格/莱茵堡
richest-looking,外观最丰富的
ricocheted through the Web,在网上引起了反响
rights-management,权限管理
rip away,"剥开..., 揭开..., 除去..."
"Risk is an ongoing behavior, not a regularly scheduled process.",风险持续存在，而非定期产生
risk matters,风险问题/事务
risk register,风险登记单
risk-effective,低风险高效益
Risks occur at the intersection of threats and vulnerabilities.,威胁与漏洞一旦汇合，便会引发风险。
RLE,游程编码
Roaming,漫游
rogue application,流氓程序
role based intranet,基于职务的内部网络
Roll it all together,总体来看
rolling buffer,滚动更新缓冲器
rolling deadlines,阶段性时限
rollup interval,上滚时间间隔
room neutral,室温恒定
root,超级用户
"root, kernel",根、内核
Rootkit,根工具包
rotating access key,轮换的访问密钥
Route,路径
routed through a hub,通过USB集线器插接
routes around the failures,绕过/回避/避开这些故障
routine,常规
routine,程序/过程
Routing Inbound Faxes,安排收入传真分配路线
run attachments,收阅附件
run free with technology,滥用技术
run rate,平均销售额
run the whole show,进行所有的操作； 管理所有的程序
run through,全面分析
RunLine,跑界/行程线
running right down the middle of it,深入核心
running through,通过。。。。连接
running through virtual server migration drills,演练虚拟服务器迁移技术
running two communications systems in parallel email,两套邮件系统并行
Sales associates,销售员
salutatory reminder,有益的提醒
sample to,提供样品
sampling,抽样测试
sand boxing,沙箱保护
satellite radio stream,卫星电台流媒体
save as you go,随写随存
save you,使您免受电量不足之苦
save-outage,保存中断（时间）
Say it ain’t so,请告诉我那不是真的
scaffolding,生成支架
scale performance to core counts,将性能提升到与核心数相当的水平
scale the amount transformation,扩展（对数据的）数量转换
scale-in upgrade,向内扩展式升级
scaled and it all turned out alright,云容量随之扩展，达人秀转播顺利完成。
scaling,比例调整
scanned on location,实地扫描
school attendance scores,出勤率
schussing around,四处传播，泄漏
scissoring mechanism,剪刀脚架构
screen mirroring,屏幕镜像
screen uniformity,屏幕均匀性
scripted my browsing experience,为我的浏览体验写了脚本
scroll through a Rolodex-like motion,（视觉效果）滚动犹如 Rolodex 名片架
scumware,变脸软件
SE,social engineering
sea-change of increasing complexity,日益复杂的巨变
Seamless workflow,无缝工作流
security overlay,一样 / 重叠
security posture,安全做法
Security remains outside the open-source comfort zone,安全仍然是令开放源代码（支持者）头痛的问题
search for Schedule Task in Settings,搜寻（系统）设置中的’设定任务时间‘项
search macros,用于搜索的宏
seat license,席位许可证
secure space,获得空间/获得一席之地
Secure User Empowerment,安全的用户授权
secured,确保安全
security access keys,安全访问密钥
security breach,安全缺口
security by obscurity,隐蔽式安全（措施）
security claims,安全声明
Security FUD will drive IT policy.,（人们对）安全的恐惧，不确定性和怀疑态度将推进ＩＴ政策（的建设/完善）
see the forest through the trees,見微知著
seeding the workflow,对工作流程下种
seeking a unicorn,比见天仙还要难
seismic measures,地震数据
seized,没收/查封
select verticals,选定的垂直市场
self-assembled tracks,自组装轨道
semantic backplane,语义背板
Semiconductor Manufacturing International Corporation (SMIC) in China,中芯国际集成电路制造有限公司
senior principal engineer,高级首席工程师
sensor,传感器
"SEO/SEM , rate-card",见下
Separate concern,fyi
separated Vista's actual release from an earlier date,但实际发布日期比预定日期仅仅晚了几个月
Separating Kubernetes in an Organization with Multiple Teams,在有多个团队的机构/组织中有各自的kubernetes容器平台
serial key,序列号
serious,下定决心的
Server Access and Virtualization,服务器访问和虚拟化事业部
server box shifting,服务器销售市场
server closets,服务器机柜
shakes out as,turns out to be
shape,规范
shaping policies,(流量)整形策略/方案
Share Nothing Live Migration,无共享实时迁移
Shared Preferences,共享参数设置
sharpening,更明显
service assembly,服务组合件
service bureau,服务局;服务中心/公司
service level expectations (SLEs),服务水平期望/期望服务水平
service levels are diluted with carve-outs,服务水平因例外情况而降低
Service Providers Program Office,服务供应商计划办公室
session,会话
set,网站单元
set,使......朝特定方向
set associative read,双路集合联合读
set different beats,设置不同的节拍
set the bar,设定标准
set up,建立；设置
set up for success,FYI
set up tripwires,设置绊网
setting,设置
shadow principal,陰影主體
Shaeffer pen,Sheaffer pen
sharper risk profiles,更加严峻的风险状况
shifted around,切换
shifting coverage holes,信号(覆盖）盲区漂移／漂移的信号(覆盖）盲区
shootout,大赛
short stroking,短行程
show backtrace on erRailss,显示Rails错误的回溯跟踪
show up,被提及
showback,成本分析
showroom forward,页面跳转
shows up in the IT budget,明示在 IT 预算中
SI,System Integrators（系统集成商）
side fences,路边栅栏
sidegrade,转变操作系统
sideload,侧传/侧载
Sign me up,算我一个(我要签约购买这种安全管理服务)
sign off  on the risks,签署书面风险协议
signal dissipation,信号损耗
signal termination,信号端子
Signature defenses,特征码防护
slave card,子卡
slicing and dicing,切片和取舍
Slideshows for days,持续无重复的幻灯播放
slim PCI-SIG form factor,小型pci-sig接口
slinging software around,安装各种软件
slip AJAX into a product,随便把 AJAX 加进一个产品里
silos,筒仓
simple-wide & Triangle-wide,简单-加宽；三角形-加宽
simplest complete,最简单而完整的
single program performance,（单个/单一）（程序/软件）性能/表现
single-pane provisioning,单屏面配置
singular access control,单一访问控制
sits (in context),停在
sits in-band,位于带内
size of a transaction,（一个）事务（的）大小
skating around,回避/无视。。。需要（/需求）
skew number,货号
skipping mouse,鼠标指针跳跃
skunk-works,私下研發
slack and fit,（工作负荷的）轻重
slap-on light switch,可粘贴电灯开关
slipstream,组合安装
slot,位置
slot floor systems,老虎机大厅监控系统
smart tag recognizer,智慧标签识别器
smartly written usability,编写巧妙、非常易用
smarts,智能
SMI-S fields,SMI-S标准/领域
smoothness,流畅性
so developers can applications on top of transactions,"You are right, “develop” is missing here."
so spoofing them is trivial,因此对这些值进行电子欺骗（造假）轻而易举
so you're not going to get anything.,你不要指望取得任何收益
soft text,柔和
"software copy-protection removal, password discovery",解除软件软件复制保护、探查密码
software in the form of apps,应用程序形式的软件
software products shipping configured as a VM,交付时配置成虚拟机的软件产品
Solid State Disks: Is Future Disruption on the Horizon,固态磁盘：未来颠覆性变革已初露端倪？
solid throughout,整体上让人觉得可靠稳定
some good may come of its checkered history,几经磨难之后也许还能修成正果
some phenomenal new gear,一些非凡的新设备
something I tend not to do today,如今不怎么用
somethings got to give,事情不能再这样下去了。
soothing sounds,抚慰的声音
sophisticated tunings,精细的调整
sound,完善
source-specific,指定来源的
South London and Maudsley NHS mental health Trust,南伦敦和莫兹利国民保健制度精神健康信托机构
Southcentral Foundation,中南部基金会
Spawn Wait,spawn 等待时间
"special offers,",特别优惠
special-interest magazines,特殊兴趣类杂志
specsmanship,玩规格把戏
spectator facilities,观众设施
spectator sport,观赏性体育项目
Speedrunning 500 years of bad economics,快进重演500年来糟糕的经济学
storage vault,储存库
storage-network Big Brother,网络储存老大
stovepipes,彼此独立的（社交平台）
straggler effects,离散效应
straight Ethernet,直通（电缆）以太网
stranded capacity,分散的存储容量
strategic communications firm,战略传播公司
strategic construct,战略构想
strategize that to existence,制订战略促成其实现
strategy reversal,战略逆转
stream,流式传送
stripe handlers,条带管理器
strong multifactor authentication,多因素的强验证
structures,构造/结构/体系
stub source,stub源代码
stubbing,存根
stubs,FYI
stuck in neutral,止步不前
stuffed dinosaur,毛绒恐龙
style-oriented,讲究款式的
sublimate,淡化
subs in the resulting strong password,将所得增强密码代入
subscribe to,订阅
subscription,订购/订阅
